Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Beans Red Haricot (Wairimu),-,-,-,Chuka,111.11/Kg,150.00/Kg,2700.00,Tharaka-Nithi,2022-07-19
Beans Red Haricot (Wairimu),-,-,-,Athi River Open air Market,94.44/Kg,110.00/Kg,270.00,Machakos,2022-07-19
Beans Red Haricot (Wairimu),-,-,-,Ngurubani Market,100.00/Kg,130.00/Kg,850.00,Kirinyaga,2022-07-19
Beans Red Haricot (Wairimu),-,-,-,Diani Market,120.00/Kg,130.00/Kg,500.00,Kwale,2022-07-19
Beans Red Haricot (Wairimu),-,-,-,Kaanwa,100.00/Kg,110.00/Kg,200.00,Tharaka-Nithi,2022-07-18
Beans Red Haricot (Wairimu),-,-,-,Kaare,111.11/Kg,110.00/Kg,900.00,Tharaka-Nithi,2022-07-18
Beans Red Haricot (Wairimu),-,-,-,Mouwarak Crops Market,95.56/Kg,130.00/Kg,180.00,Laikipia,2022-07-18
Beans Red Haricot (Wairimu),-,-,-,Awendo,133.33/Kg,112.15/Kg,6200.00,Migori,2022-07-18
Beans Red Haricot (Wairimu),-,-,-,Soko mpya,77.78/Kg,100.00/Kg,800.00,Nyandarua,2022-07-18
Beans Red Haricot (Wairimu),-,-,-,Aram,83.94/Kg,91.24/Kg,250.00,Siaya,2022-07-18
Beans Red Haricot (Wairimu),-,-,-,Gakindu,100.00/Kg,104.17/Kg,1200.00,Nyeri,2022-07-18
Beans Red Haricot (Wairimu),-,-,-,Othaya,8000.00/Kg,125.00/Kg,4500.00,Nyeri,2022-07-18
